image_path,image_name,species,body_part,view,source
/home/maria-luiza-duda/datasets/campylaspis/processed/aculeata/images/aculeata_lateral_body.jpg,aculeata_lateral_body.jpg,aculeata,whole_body,lateral,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/aculeata/images/aculeata_mxpd3.jpg,aculeata_mxpd3.jpg,aculeata,unknown,unknown,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/aculeata/images/aculeata_p2.jpg,aculeata_p2.jpg,aculeata,pereopod_2,isolated,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/aculeata/images/aculeata_uropod.jpg,aculeata_uropod.jpg,aculeata,uropod,isolated,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/bicarinata/images/bicarinata_dorsal_carapace.jpg,bicarinata_dorsal_carapace.jpg,bicarinata,carapace,isolated,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/bicarinata/images/bicarinata_lateral_body_female.jpg,bicarinata_lateral_body_female.jpg,bicarinata,whole_body,lateral,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/bicarinata/images/bicarinata_lateral_body_male.jpg,bicarinata_lateral_body_male.jpg,bicarinata,whole_body,lateral,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/bicarinata/images/bicarinata_mxpd3.jpg,bicarinata_mxpd3.jpg,bicarinata,unknown,unknown,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/bicarinata/images/bicarinata_p2.jpg,bicarinata_p2.jpg,bicarinata,pereopod_2,isolated,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/bicarinata/images/bicarinata_uropod_female.jpg,bicarinata_uropod_female.jpg,bicarinata,uropod,isolated,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/bicarinata/images/bicarinata_uropod_male.jpg,bicarinata_uropod_male.jpg,bicarinata,uropod,isolated,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/bicurvata/images/bicurvata_dorsal_carapace.jpg,bicurvata_dorsal_carapace.jpg,bicurvata,carapace,isolated,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/bicurvata/images/bicurvata_lateral_body.jpg,bicurvata_lateral_body.jpg,bicurvata,whole_body,lateral,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/bicurvata/images/bicurvata_mxpd3.jpg,bicurvata_mxpd3.jpg,bicurvata,unknown,unknown,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/bicurvata/images/bicurvata_p2.jpg,bicurvata_p2.jpg,bicurvata,pereopod_2,isolated,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/bicurvata/images/bicurvata_p2_magnified.jpg,bicurvata_p2_magnified.jpg,bicurvata,pereopod_2,isolated,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/bicurvata/images/bicurvata_uropod.jpg,bicurvata_uropod.jpg,bicurvata,uropod,isolated,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/capsa/images/capsa_dorsal_body.jpg,capsa_dorsal_body.jpg,capsa,whole_body,dorsal,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/capsa/images/capsa_lateral_body.jpg,capsa_lateral_body.jpg,capsa,whole_body,lateral,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/capsa/images/capsa_mxpd3.jpg,capsa_mxpd3.jpg,capsa,unknown,unknown,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/capsa/images/capsa_p2.jpg,capsa_p2.jpg,capsa,pereopod_2,isolated,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/capsa/images/capsa_p2_magnified.jpg,capsa_p2_magnified.jpg,capsa,pereopod_2,isolated,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/capsa/images/capsa_uropod.jpg,capsa_uropod.jpg,capsa,uropod,isolated,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/cognata/images/cognata_dorsal_carapace.jpg,cognata_dorsal_carapace.jpg,cognata,carapace,isolated,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/cognata/images/cognata_lateral_body_female.jpg,cognata_lateral_body_female.jpg,cognata,whole_body,lateral,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/cognata/images/cognata_lateral_body_male.jpg,cognata_lateral_body_male.jpg,cognata,whole_body,lateral,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/cognata/images/cognata_mxpd3.jpg,cognata_mxpd3.jpg,cognata,unknown,unknown,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/cognata/images/cognata_p2.jpg,cognata_p2.jpg,cognata,pereopod_2,isolated,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/cognata/images/cognata_uropod.jpg,cognata_uropod.jpg,cognata,uropod,isolated,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/exarata/images/exarata_dorsal_body.jpg,exarata_dorsal_body.jpg,exarata,whole_body,dorsal,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/exarata/images/exarata_lateral_carapace.jpg,exarata_lateral_carapace.jpg,exarata,carapace,isolated,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/exarata/images/exarata_mxpd3.jpg,exarata_mxpd3.jpg,exarata,unknown,unknown,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/exarata/images/exarata_p2.jpg,exarata_p2.jpg,exarata,pereopod_2,isolated,illustration
/home/maria-luiza-duda/datasets/campylaspis/processed/exarata/images/exarata_uropod.jpg,exarata_uropod.jpg,exarata,uropod,isolated,illustration
